simple_ingr,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Cluster
Cornmeal,20022.0,63.0,97.0,0.0,79.45,0.0,8.6,3.9,1628.0,0.0,4.968,7.11,0.0,0.382,10.5,1.61,0.551,11.18,0.39,0.828,0.22,1.75,3.0,0.076,4.36,32.0,99.0,142.0,7.0,0.66,11.0,0.0,0.182,0.0,0.12,0.0,2
Cornstarch,20027.0,0.0,0.0,0.0,91.27,0.0,0.4,0.9,0.0,0.0,0.0,0.26,0.0,0.0,2.8,0.0,0.0,8.32,0.016,0.025,0.009,0.05,2.0,0.05,0.47,3.0,13.0,3.0,9.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2
Couscous,20029.0,0.0,0.0,0.0,23.22,0.0,3.3,1.4,25.0,0.0,0.983,3.79,0.0,0.027,27.5,0.1,0.063,72.57,0.022,0.064,0.029,0.16,8.0,0.041,0.38,8.0,22.0,58.0,5.0,0.26,0.0,0.0,0.051,0.0,0.13,0.1,2
Cowpeas,13629.5,0.0,27.0,0.0,22.26,0.0,38.900000000000006,6.45,0.0,0.0,0.6114999999999999,8.11,0.0,0.0595,2.95,3.88,0.231,68.07,0.052,0.2525,0.1565,0.595,23.5,0.226,2.315,51.5,139.0,326.5,4.5,1.355,2.5,0.0,0.0975,1.5,0.29,19.25,2
Crackers,20798.28,0.04,8.28,1.96,68.7344,1.8,18.096,5.608,71.52,0.0,4.659000000000001,9.5024,2.88,0.3126,19.516,4.3932,0.4336,5.1264,4.86472,5.18896,2.80392,13.888,79.64,0.23244,3.7064,55.44,232.8,237.88,683.12,1.404,3.6,0.056,0.15656,0.012,1.2388,13.452,3
Cranberry,10370.0,0.0,22.5,0.0,37.1725,0.0,4.675,2.5,72.5,0.0,0.1975,0.3825,0.0,0.01725,0.325,30.1125,0.01,61.9325,0.0855,0.0817499999999999,0.028,0.3675,5.75,0.03875,0.2825,3.25,6.0,42.75,3.5,0.0625,1.75,0.0,0.02725,14.375,1.1425,3.75,2
Cranberry juice,43382.0,0.0,27.0,0.0,12.2,0.0,3.3,0.1,68.0,0.0,0.091,0.39,0.0,0.018,0.1,12.1,0.009,87.13,0.023,0.07,0.01,0.13,8.0,0.055,0.25,6.0,13.0,77.0,2.0,0.1,2.0,0.0,0.052,9.3,1.2,5.1,2
Cranberry juice blend,9522.0,0.0,15.0,0.0,10.91,0.0,1.8,0.1,68.0,0.0,0.094,0.27,0.0,0.015,0.1,9.8,0.005,88.6,0.002,0.002,0.002,0.12,19.0,0.016,0.08,5.0,8.0,76.0,6.0,0.05,1.0,0.0,0.018,31.5,0.01,0.0,2
Cream,7940.416666666667,0.0,18.58333333333333,0.0833333333333333,25.048333333333336,28.916666666666668,9.125,0.1916666666666666,0.5,0.0,0.0604166666666666,2.06,77.83333333333333,0.0910833333333333,1.9666666666666668,18.319166666666668,0.0161666666666666,54.72166666666666,5.319916666666667,1.01175,9.409333333333334,17.225833333333334,48.833333333333336,0.03175,0.2016666666666666,8.333333333333334,98.33333333333331,247.16666666666663,80.75,0.2583333333333333,79.5,0.1258333333333333,0.0234166666666666,0.325,0.5791666666666667,2.6,2
Cream Puff,18969.0,0.0,1.0,1.0,37.43,66.0,44.2,0.9,86.0,0.0,1.908,4.41,22.0,0.241,15.5,22.05,0.263,38.64,6.07,4.173,7.055,18.52,35.0,0.06,0.95,10.0,71.0,68.0,265.0,0.45,23.0,0.17,0.041,0.0,0.95,6.7,3
